,State_code,Name,rural-percentage,urban-percentage,p-value
0,0,INDIA,80.49274855253414,59.60095185407026,0.33240738789033075
1,1,JAMMU & KASHMIR,54.246700175449,41.281389427252726,0.5689967277343171
2,2,HIMACHAL PRADESH,84.10767399875326,62.067207705445625,0.27958068859592794
3,3,PUNJAB,59.16108401014011,42.76410774500137,0.5236891340259475
4,4,CHANDIGARH,59.56331275223346,44.644939544589704,0.5920836332028827
5,5,UTTARAKHAND,88.13078783803333,69.74671223721346,0.26386845577225765
6,6,HARYANA,83.29709833071047,67.54370538321031,0.27079068263655987
7,7,NCT OF DELHI,76.44317276072566,58.95569396573344,0.39906995838486314
8,8,RAJASTHAN,91.75340393789931,81.07611500059977,0.2366008673570947
9,9,UTTAR PRADESH,92.97058438018725,73.13025042800815,0.2171387500297831
10,10,BIHAR,84.91440289059399,75.91831819245695,0.316181670500719
11,11,SIKKIM,39.993304142897465,25.269895427730532,0.8288549720438244
12,12,ARUNACHAL PRADESH,38.23237599380321,28.385885199877748,0.8679294567952576
13,13,NAGALAND,42.769208034465905,25.708536059940524,0.7477930060072066
14,14,MANIPUR,52.61876496309926,48.36181328627568,0.7457949238509403
15,15,MIZORAM,76.55104817912776,67.38309567991381,0.33264603755210753
16,16,TRIPURA,63.17956662281969,71.93206532196582,0.5840667086626801
17,17,MEGHALAYA,80.02487097496498,41.45234696448065,0.34742927151913894
18,18,ASSAM,56.04937868172958,39.09952434238436,0.5569001503327622
19,19,WEST BENGAL,88.79344139621959,72.30515778330474,0.35635272778447113
20,20,JHARKHAND,72.10803975705838,62.027658680552186,0.39608668117281787
21,21,ODISHA,71.31475038919878,45.83356178544463,0.4679623553712977
22,22,CHHATTISGARH,89.31652811834948,78.28262540302838,0.3034762297935386
23,23,MADHYA PRADESH,89.85993486284065,77.68081814084672,0.26170060267784323
24,24,GUJARAT,67.00253921293651,43.89607910761057,0.4294518764772717
25,25,DAMAN & DIU,52.316378568117095,51.9663551197423,0.6387742931409097
26,26,DADRA & NAGAR HAVELI,39.74682438262503,44.798405927955415,0.8649336987406011
27,27,MAHARASHTRA,60.39599926402064,34.98165098493437,0.4904343459936864
28,28,ANDHRA PRADESH,80.72728179855179,62.00831529736534,0.3591470550018321
29,29,KARNATAKA,71.33001693251295,42.81654224280899,0.42873022557348406
30,30,GOA,25.173318156855423,21.33888537230347,0.7214047821843965
31,31,LAKSHADWEEP,75.19977370765858,70.1064928872288,0.38691627151461017
32,32,KERALA,78.17273462771594,72.70200062428907,0.38153786722509153
33,33,TAMIL NADU,78.26885281304467,64.70000950814263,0.3651525371087446
34,34,PUDUCHERRY,79.50885627530364,63.493414857526155,0.3931570062031351
35,35,ANDAMAN & NICOBAR ISLANDS,35.637070685342884,26.945110392506688,0.7208455633648518
